FileName,happy,sad,anger,surprise,disgust,fear
5Fs_7A_V2kA_0,1.3333333730697632,0.0,0.0,0.0,0.0,0.0
5Fs_7A_V2kA_1,2.0,0.0,0.0,0.0,0.0,0.0
5Fs_7A_V2kA_2,2.3333332538604736,0.0,0.0,0.0,0.0,0.0
5Fs_7A_V2kA_3,1.0,0.0,0.0,0.0,0.0,0.0
5Fs_7A_V2kA_4,0.6666666865348816,0.0,0.0,0.0,0.0,0.0
Wfn7XvSEwUA_0,0.3333333432674408,0.0,0.0,0.0,0.0,0.0
Wfn7XvSEwUA_1,0.0,0.6666666865348816,0.0,0.0,0.0,0.0
Wfn7XvSEwUA_2,2.3333332538604736,0.0,0.0,0.3333333432674408,0.0,0.0
Wfn7XvSEwUA_3,1.0,0.0,0.0,0.0,0.0,0.0
Wfn7XvSEwUA_4,0.0,0.0,0.0,0.0,0.0,0.0
Wfn7XvSEwUA_5,2.0,0.0,0.0,0.0,0.0,0.0
Wfn7XvSEwUA_6,0.3333333432674408,0.0,0.0,0.0,0.0,0.0
Wfn7XvSEwUA_7,1.0,0.0,0.0,0.6666666865348816,0.0,0.0
47472_0,0.0,0.3333333432674408,0.0,0.0,1.3333333730697632,0.0
47472_1,0.0,0.0,0.0,0.0,0.0,0.0
47472_2,0.0,1.3333333730697632,0.0,0.0,0.3333333432674408,0.0
47472_3,0.0,0.3333333432674408,0.0,0.0,0.0,0.0
47472_4,0.0,0.6666666865348816,0.0,0.0,1.0,0.0
47472_5,0.0,0.0,0.0,0.0,0.3333333432674408,0.0
47472_6,2.0,0.0,0.0,0.0,0.0,0.0
47472_7,0.0,0.0,0.0,0.0,0.0,0.0
47472_8,0.0,1.3333333730697632,1.6666666269302368,0.0,1.6666666269302368,0.0
47472_9,0.0,0.6666666865348816,0.0,0.0,0.0,0.0
47472_10,0.0,0.0,0.0,0.0,0.3333333432674408,0.0
47472_11,0.0,0.0,0.0,0.0,0.0,0.0
47472_12,0.0,0.0,0.0,0.0,0.0,0.0
47472_13,0.0,0.0,0.0,0.0,0.0,0.0
47472_14,0.0,0.0,0.0,0.0,0.0,0.0
47472_15,0.0,0.0,0.0,0.0,0.6666666865348816,0.0
38019_0,0.6666666865348816,0.0,0.0,0.0,0.0,0.0
38019_1,0.0,0.0,0.0,0.0,0.0,0.0
38019_2,0.0,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0
38019_3,0.0,0.0,0.3333333432674408,0.0,0.0,0.0
38019_4,0.0,1.0,0.0,0.3333333432674408,0.0,0.0
38019_5,0.0,0.3333333432674408,0.0,0.0,0.6666666865348816,0.0
38019_6,0.0,0.3333333432674408,0.0,0.0,0.3333333432674408,0.0
